id|county
12690|Adair
12691|Adair
12692|Adair
12693|Adair
12694|Adair
12695|Adair
12696|Adair
12697|Adair
12698|Adair
12699|Adair
12700|Adair
12701|Adair
12702|Adair
12703|Adair
12704|Adair
12705|Adair
12706|Adair
12707|Adair
12708|Adair
12709|Adair
12710|Adair
12711|Adair
12712|Adair
12713|Adair
12714|Adair
12715|Adair
12716|Adair
12717|Adair
12718|Adair
12719|Adair
12720|Adair
12721|Adair
12722|Adair
12723|Adair
12724|Adair
12725|Adair
12726|Adair
12727|Adair
12728|Adair
12729|Adair
12730|Adair
12731|Adair
12732|Adair
12733|Adair
12734|Adair
12735|Adair
12736|Adair
12737|Adair
12738|Adair
12739|Adair
12740|Adair
12741|Adair
12742|Adair
12743|Adair
12744|Adair
12745|Adair
12746|Adair
12747|Adair
12748|Adair
12749|Adair
12750|Adair
12751|Adair
12752|Adair
12753|Adair
12754|Adair
12755|Adair
12756|Adair
12757|Adair
12758|Adair
12759|Adair
12760|Adair
12761|Adair
12762|Adair
12763|Adair
12764|Adair
12765|Adair
12766|Adair
12767|Adair
12768|Adair
12769|Adair
12770|Adair
12771|Adair
12772|Adair
12773|Adair
12774|Adair
12775|Adair
12776|Adair
12777|Adair
12778|Adair
12779|Adair
12780|Adair
12781|Adair
12782|Adair
12783|Adair
12784|Adair
12785|Adair
12786|Adair
12787|Adair
12788|Adair
12789|Adair
12790|Adair
12791|Adair
12792|Adair
12793|Adair
12794|Adair
12795|Adair
12796|Adair
12797|Adair
12798|Adair
12799|Adair
12800|Adair
12801|Adair
12802|Adair
12803|Adair
12804|Adair
12805|Adair
12806|Adair
12807|Adair
12808|Adair
12809|Adair
12810|Adair
12811|Adair
12812|Adair
12813|Adair
12814|Adair
12815|Adair
12816|Adair
12817|Adair
12818|Adair
12819|Adair
12820|Adair
12821|Adair
12822|Adair
12823|Adair
12824|Adair
12825|Adair
12826|Adair
12827|Adair
12828|Adair
12829|Adair
12830|Adair
12831|Adair
12832|Adair
12833|Adair
12834|Adair
12835|Adair
12836|Adair
12837|Adair
12838|Adair
12839|Adair
12840|Adair
12841|Adair
12842|Adair
12843|Adair
12844|Adair
12845|Adair
12846|Adair
12847|Adair
12848|Adair
12849|Adair
12850|Adair
12851|Adair
12852|Adair
12853|Adair
12854|Adair
12855|Adair
12856|Adair
12857|Adair
12858|Adair
12859|Adair
12860|Adair
12861|Adair
12862|Adair
12863|Adair
12864|Adair
12865|Adair
12866|Adair
12867|Adair
12868|Adair
12869|Adair
12870|Adair
12871|Adair
12872|Adair
12873|Adair
12874|Adair
12875|Adair
12876|Adair
12877|Adair
12878|Adair
12879|Adair
12880|Adair
12881|Adair
12882|Adair
12883|Adair
